iter	Accuracy	MultiClass
0	0.6618878598	1.044898166
1	0.6765319363	0.9968641169
2	0.6822511479	0.9595028837
3	0.6865895483	0.9265797578
4	0.6914745262	0.899343662
5	0.6936118978	0.8764282576
6	0.6959225588	0.8560501153
7	0.6971556674	0.8397488578
8	0.6984652171	0.8247318705
9	0.6978754226	0.8112442661
10	0.7007208968	0.7985694673
11	0.704448632	0.7874164884
12	0.7049597915	0.7777764633
13	0.7067615075	0.7675749202
14	0.708354332	0.7585465603
15	0.7098130314	0.7507792698
16	0.7116858831	0.7432483463
17	0.713123615	0.7361906943
18	0.7154050238	0.7296467456
19	0.7169761355	0.723419818
20	0.7180787189	0.7180000913
21	0.719175924	0.7129677184
22	0.7195535315	0.7079633737
23	0.7215891125	0.7029642856
24	0.7223234199	0.6985375552
25	0.7229355794	0.6949420877
26	0.7236390555	0.6907891112
27	0.724796847	0.6871783072
28	0.7259725095	0.6836154005
29	0.72701539	0.6794942252
30	0.7275385267	0.6758497031
31	0.7284220522	0.672839771
32	0.7292645202	0.6699051191
33	0.7297852763	0.6667396642
34	0.7309012114	0.664155348
35	0.7322533773	0.6614987146
36	0.7331380558	0.6587571472
37	0.7340388518	0.6556256195
38	0.7347502024	0.6533907276
39	0.7362417265	0.6507171132
40	0.7375501334	0.6482437705
41	0.7384611037	0.6459741186
42	0.7385345141	0.6440174297
43	0.7388779636	0.6424569328
44	0.7395689489	0.6409192293
45	0.7404460076	0.6389327612
46	0.7415887085	0.6370657451
47	0.743427222	0.6341335985
48	0.7434864815	0.6323379249
49	0.7445445708	0.6301435472
50	0.7450977172	0.6287939629
51	0.745435503	0.626927147
52	0.7467227126	0.6252338441
53	0.7472519912	0.6238101065
54	0.7477336398	0.6218677194
55	0.7480462143	0.6205149259
56	0.7488958675	0.6188819564
57	0.7492699808	0.6176366342
58	0.7498093674	0.6165098139
59	0.7503858413	0.6148577046
60	0.7506912721	0.6135677543
61	0.7514798233	0.6124140947
62	0.7521395321	0.6112481567
63	0.7526301358	0.6097929681
64	0.7532824751	0.6080875366
65	0.7536085983	0.6068803546
66	0.7543480809	0.6056029239
67	0.7548123596	0.6039887519
68	0.755492148	0.6025949437
69	0.7558870178	0.6014000195
70	0.756754401	0.600549421
71	0.7570032799	0.5991884041
72	0.7572526991	0.5985871644
73	0.7576679009	0.5974825215
74	0.7581097527	0.5964203796
75	0.7586587817	0.5957145351
76	0.7589105504	0.5945915135
77	0.75898754	0.5933090813
78	0.7597344956	0.5921109754
79	0.7606059547	0.5907542778
80	0.7606483867	0.5896539091
81	0.7609796747	0.5885895947
82	0.7619699737	0.5875861996
83	0.7623133901	0.586574301
84	0.7628821695	0.5854706477
85	0.763223313	0.5846900463
86	0.763655955	0.5835883534
87	0.7638847565	0.5826049259
88	0.7640016485	0.5815585151
89	0.7651857257	0.5798360364
90	0.765294025	0.5792791631
91	0.7653602502	0.5786680329
92	0.7657703287	0.5780920266
93	0.7659145186	0.5774807105
94	0.7666351491	0.5757121194
95	0.767109358	0.5745547529
96	0.7677570439	0.5734932306
97	0.767913298	0.5726282444
98	0.7684105073	0.5719574642
99	0.7686884188	0.5707241202
100	0.7692525406	0.569937348
101	0.7693690745	0.5691803851
102	0.7695191164	0.5682730956
103	0.7700292904	0.5672219042
104	0.7706455612	0.5656087042
105	0.77111977	0.56481775
106	0.7716433435	0.563896815
107	0.7718664709	0.562985023
108	0.7726522069	0.5615595486
109	0.7727962912	0.5610129755
110	0.7730682739	0.5598306551
111	0.7738292438	0.5588202624
112	0.7744267701	0.5580495047
113	0.7745391846	0.5572457712
114	0.7751311114	0.5556335846
115	0.7753422573	0.5544434308
116	0.7760277508	0.5534392062
117	0.7767588165	0.5520155971
118	0.7771186608	0.5510619455
119	0.7775727176	0.5501095071
120	0.7780926086	0.548904606
121	0.7783761506	0.5477110725
122	0.7785472118	0.5464027885
123	0.7793228729	0.5452134497
124	0.7799638373	0.5444073341
125	0.7804552006	0.5430176691
126	0.7806876101	0.5422730415
127	0.7806135497	0.5412597822
128	0.7816063473	0.5400540458
129	0.7820347686	0.5393127229
130	0.7821385157	0.5384395298
131	0.7824561081	0.5376660694
132	0.7828190969	0.5367594373
133	0.7832311233	0.5362377225
134	0.7829616991	0.5353316424
135	0.7835712173	0.5341413153
136	0.7839446412	0.5333565747
137	0.7840330409	0.5328166979
138	0.7843479981	0.5323104039
139	0.7849741554	0.5313944049
140	0.785754621	0.530486222
141	0.7862545814	0.529708439
142	0.7868325375	0.5284860432
143	0.7871455468	0.5278596927
144	0.7871257218	0.5270163923
145	0.7876677126	0.5261516887
146	0.7881763735	0.5253141771
147	0.7886271472	0.5245792557
148	0.7890710959	0.5240392702
149	0.7892842953	0.5231861577
150	0.7895742297	0.5224041601
151	0.7899741897	0.5218100838
152	0.7901296841	0.5208829964
153	0.7904484731	0.5203418654
154	0.7907701828	0.5198226204
155	0.7914874185	0.5189365341
156	0.7915887852	0.5183879344
157	0.7916251829	0.517474167
158	0.7922661163	0.5168810276
159	0.7928382927	0.5164061011
160	0.79294222	0.5159350287
161	0.7935326336	0.5151053622
162	0.793802238	0.5144784219
163	0.7944125821	0.5136148717
164	0.794874619	0.5130368715
165	0.7952020028	0.5123409008
166	0.7956519837	0.5113235136
167	0.7958172261	0.5107268083
168	0.7958851136	0.5101008264
169	0.7963701178	0.5094754903
170	0.7965183194	0.5088421054
171	0.797156363	0.5083141966
172	0.7972294154	0.5078078227
173	0.7974170847	0.5070715362
174	0.7978440238	0.5060809673
175	0.7982939301	0.5056441004
176	0.7986599143	0.5049527113
177	0.7989328411	0.5042701002
178	0.7991605205	0.5038031114
179	0.7996448043	0.5028301843
180	0.800068568	0.5020903743
181	0.8004592872	0.5013479046
182	0.8011580001	0.5005479275
183	0.8015883693	0.4998335444
184	0.8020959081	0.4991099588
185	0.802290183	0.4985748388
186	0.8025784572	0.4979398032
187	0.8027812939	0.4972269848
188	0.802802779	0.4964284445
189	0.8028368708	0.4959225243
190	0.8031419	0.4954784211
