iter	Passed	Remaining
0	2759	2756926
1	5123	2556869
2	7185	2387976
3	9414	2344210
4	11519	2292368
5	13724	2273763
6	16125	2287543
7	18481	2291758
8	20872	2298290
9	22851	2262347
10	24939	2242308
11	27351	2251930
12	29681	2253482
13	31935	2249148
14	34061	2236706
15	36473	2243148
16	38250	2211788
17	41189	2247096
18	43595	2250902
19	45841	2246254
20	48242	2249031
21	50486	2244376
22	52664	2237084
23	55064	2239296
24	57211	2231252
25	59159	2216221
26	60757	2189533
27	62993	2186780
28	65607	2196731
29	67897	2195365
30	69834	2182897
31	72111	2181358
32	73903	2165601
33	75797	2153548
34	77984	2150155
35	80404	2153056
36	82652	2151188
37	84520	2139707
38	87073	2145577
39	88936	2134475
40	91240	2134145
41	93991	2143897
42	96472	2147077
43	98619	2142739
44	100904	2141426
45	103394	2144302
46	105775	2144766
47	108596	2153838
48	110578	2146128
49	112731	2141889
50	115248	2144520
51	117333	2139083
52	120111	2146141
53	122680	2149172
54	124981	2147407
55	126962	2140231
56	129353	2140001
57	131133	2129790
58	133551	2130035
59	135857	2128440
60	137934	2123284
61	140152	2120375
62	142395	2117846
63	145099	2122085
64	146772	2111270
65	149762	2119361
66	152221	2119740
67	154296	2114763
68	156704	2114381
69	159075	2113436
70	161216	2109432
71	163850	2111854
72	165773	2105090
73	168310	2106156
74	170544	2103377
75	173078	2104273
76	175167	2099730
77	177355	2096436
78	179662	2094541
79	182224	2095577
80	184651	2094996
81	187052	2094077
82	189740	2096286
83	191509	2088366
84	193720	2085349
85	196002	2083099
86	198450	2082588
87	200951	2082590
88	203224	2080195
89	205698	2079843
90	208256	2080278
91	210333	2075902
92	212485	2072300
93	214816	2070462
94	216629	2063683
95	218747	2059869
96	221075	2058051
97	222672	2049499
98	224791	2045825
99	227028	2043258
100	229261	2040654
101	231383	2037081
102	233346	2032153
103	235793	2031448
104	238094	2029471
105	240444	2027900
106	243135	2029161
107	245861	2030631
108	248052	2027655
109	250065	2023253
110	252543	2022619
111	254796	2020169
112	256740	2015297
113	258506	2009093
